genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Electronic,Boards of Canada,Sixtyniner,5PC3XlGumMa31O5sKWTp1s,35,0.56,0.509,317600,0.431,0.912,F,0.122,-13.785,Minor,0.0469,178.161,4/4,0.178
Soul,Private Island,Bear Hands,75yJqOWtWFbmX5c8dBNpCQ,43,0.0257,0.485,284827,0.894,0.065,B,0.137,-4.864,Minor,0.0718,126.072,4/4,0.523
Reggae,Ponto De Equilíbrio,Árvore do Reggae,6igGc7SDElL0VWsKwouG9J,49,0.173,0.806,221413,0.551,2.76e-05,A,0.0857,-7.557,Major,0.214,130.777,4/4,0.855
Reggaeton,Magnate,Stand By,3wOA3JncqU0OYKO0WgZtal,20,0.246,0.852,219533,0.715,0.000296,A,0.118,-4.984,Minor,0.0564,94.004,4/4,0.671
Ska,The Melodians,It's My Delight,4ljckqNzUr3grXyshFnu7y,15,0.578,0.81,193800,0.559,0.337,G,0.256,-10.777,Major,0.0489,126.51,4/4,0.961
Indie,The Delta Riggs,Baddest Motherfucker in the Beehive,3Ege1GfaCMb97xrdG2f9vL,46,0.0025,0.776,172347,0.565,8.69e-05,C#,0.334,-5.812,Major,0.0403,123.987,4/4,0.807
Indie,Bad Suns,Defeated,4zQO4hbavXKqtIs8gHDRo9,50,0.0153,0.633,217400,0.817,2.55e-06,A#,0.112,-5.226,Major,0.0384,128.01,4/4,0.438
Movie,Chorus,Sundar Bate Tabe,5zVMw1Ztp4vpisL2ELwLEe,0,0.8,0.547,115680,0.366,0.0,D,0.0928,-7.005,Minor,0.0323,61.884,4/4,0.568
Children’s Music,Five Finger Death Punch,Rock Bottom,4cb4NOBdcYhSGnFPHVaXga,52,0.000295,0.611,151997,0.996,0.00085,C#,0.365,-3.771,Minor,0.0819,127.007,4/4,0.53
Indie,Beta Radio,Sitting Room,61RrNbOovzQBB8lomPR4Qb,52,0.91,0.475,249067,0.31,0.195,G#,0.111,-13.505,Major,0.0296,142.664,3/4,0.435
Soul,Rhye,Open,3JsA2sWDNR9oQogGAzqqtH,65,0.896,0.551,217053,0.324,0.0873,C,0.277,-10.962,Major,0.0314,90.957,4/4,0.231
Pop,Adam Hicks,"Determinate - From ""Lemonade Mouth""",4qEoqyPbLYnLOii6mKlIjI,60,0.00361,0.562,198107,0.768,0.0,C#,0.0742,-5.006,Minor,0.0488,139.968,4/4,0.218
Jazz,Cindy Bradley,Lifted,11uTYvnSU7RdiP8VQ2wHZc,28,0.746,0.631,294827,0.645,0.926,D,0.156,-8.032,Minor,0.0348,91.977,4/4,0.52
Rock,Brothers Osborne,Stay A Little Longer,6rqxivjFHp8K0yMiefG56g,67,0.0414,0.555,335267,0.89,0.131,F#,0.147,-5.533,Major,0.0309,96.987,4/4,0.513
Children’s Music,Can't Swim,Your Clothes,6R9xG17MVoCD5OiZd7NRmX,47,0.00384,0.493,138613,0.933,0.00386,C#,0.267,-3.406,Minor,0.0826,137.056,4/4,0.382
Children’s Music,PVRIS,No Mercy,3tIcg28Vm3GFnaiwfDvMeL,49,0.0367,0.452,239120,0.906,0.000304,E,0.324,-3.384,Minor,0.109,147.894,4/4,0.359
World,Rend Collective,Ding Dong Merrily On High (The Celebration's Starting),4DIpWx03RwRgOkWe7CInhi,28,0.34,0.696,117227,0.715,0.0,G,0.18,-7.741,Major,0.0314,130.017,4/4,0.958
Rap,SOB X RBE,"Intro (Gangin) (feat. DaBoii, Slimmy B, Yhung T.O. & Lul G)",2aJwDd0YDt8TM19arsfFVd,49,0.223,0.762,230600,0.586,0.0,D,0.377,-8.252,Major,0.251,94.062,4/4,0.268
Comedy,Jim Gaffigan,Donuts,14rnuwhsCcNt2CGt5dilkh,48,0.878,0.502,164080,0.989,0.0,B,0.76,-4.946,Minor,0.844,127.095,3/4,0.191
Country,Chip Taylor,F**K All the Perfect People,2DFD0Zga3HBwMHIpGnsZJz,56,0.6,0.571,258507,0.263,0.00244,C,0.146,-13.22,Major,0.0317,111.929,3/4,0.104
Jazz,Billie Holiday,Strange Fruit,6W5706MsehAWMAZLIg9Fu2,46,0.967,0.384,181387,0.078,5.49e-06,C,0.135,-13.77,Minor,0.0469,97.427,4/4,0.135
Classical,Joe Hisaishi,Le Petit Poucet - Main Theme,3IWGYVRg2bm15jj4nRo2tJ,32,0.903,0.144,267493,0.137,0.888,C,0.104,-19.22,Minor,0.0337,85.587,4/4,0.0786
Dance,Dr. Alban,It's My Life,6HdM7gzXVgcpepv276raog,66,0.00332,0.655,239933,0.933,0.0365,G,0.0983,-7.703,Major,0.0536,128.701,4/4,0.472
Soul,Sam & Dave,This Is Your World,1LFm08BW5SkpkJqKKYAxxJ,37,0.359,0.672,144826,0.455,3.98e-05,D#,0.0762,-10.739,Major,0.0259,84.262,4/4,0.76
Reggaeton,Lary Over,Está Pa Mi - Remix,6nNvo12ci3B4BPuyHTRKKN,43,0.347,0.728,288126,0.878,0.0,E,0.165,-4.916,Minor,0.188,176.011,4/4,0.961
Soul,Janelle Monáe,Stevie's Dream,0iC4xzAzu0mmA66HdYy7V9,50,0.858,0.33,46636,0.282,2.99e-05,D,0.203,-15.25,Major,0.0533,108.192,5/4,0.4
Indie,Nick Wilson,All I Ever Wanted Was You,2PyorPr6Hzdnmxm85lrohB,46,0.894,0.613,220029,0.12,0.0,G,0.0963,-14.099,Major,0.0328,100.044,3/4,0.137
Reggae,Michael Franti & Spearhead,Hey Now Now,3IFz2iiAvTqu8KgyS1IDNK,47,0.0523,0.785,336040,0.782,0.0,A,0.148,-4.877,Major,0.265,89.996,4/4,0.728
Reggaeton,Jory Boy,Se Te Nota,1Slzsd8h1ulp5a0WVasdiw,31,0.0656,0.767,193564,0.774,0.0,D,0.237,-3.951,Minor,0.194,180.058,4/4,0.838
Ska,Viernes 13,Pierdete Chica,4GY8B3zb7BMjTGZuCipjTx,24,0.00753,0.489,141573,0.788,7.38e-06,D,0.17,-5.42,Major,0.156,111.486,4/4,0.624
R&B,Ari Lennox,Shea Butter Baby (with J. Cole),1CVAENDG5VY05pEHh0ViXL,77,0.134,0.702,210590,0.614,0.00391,C,0.173,-4.385,Major,0.0786,155.173,4/4,0.047
Children's Music,All-Star Kids Cast,Let's Catch A Star,1hkuE5RTwC3iWrtFK1cGDY,4,0.896,0.306,159707,0.316,0.0,F,0.0758,-9.227,Major,0.0328,79.61,3/4,0.143
Children’s Music,Jamie Grace,Beautiful Day,3WmCYEdm997RjT6ZOoF15C,50,0.508,0.78,190027,0.721,0.0,D,0.45,-3.456,Major,0.0722,97.992,4/4,0.736
Reggae,Steel Pulse,Blessed Is the Man,59YBLUAGK08cdwEdirIXQY,30,0.0951,0.795,261200,0.438,8.82e-05,E,0.128,-12.181,Minor,0.0945,80.01,4/4,0.452
Indie,Smino,KRUSHED ICE (with Valee),0RrStGJK40iOOfH3nMPLcc,51,0.215,0.832,163169,0.484,0.00204,C,0.1,-6.454,Major,0.392,148.035,4/4,0.584
Alternative,DREAMERS,Sweet Disaster,7bEDDsy2LFC0KSqhZp5nPE,61,0.00877,0.518,205173,0.791,0.0,C,0.0769,-2.407,Major,0.0316,87.028,4/4,0.434
Hip-Hop,The D.O.C.,The Formula,0OGidxV6e9dWeN2bXjXBGi,51,0.00725,0.83,252627,0.626,0.0,F#,0.224,-7.601,Major,0.113,92.25,4/4,0.475
Soul,Solange,Junie,5lMugQF80AuN6uukFJLT58,56,0.206,0.826,186027,0.724,0.0608,A#,0.144,-4.058,Major,0.0846,100.003,3/4,0.652
R&B,EDEN,Fireworks,3rF2f0xYN7FqPl2rRJkbsn,47,0.0669,0.575,230405,0.899,1.25e-05,A#,0.0935,-5.011,Major,0.0487,149.976,4/4,0.673
Opera,Accademia Bizantina,Concerto No. 8 In A Minor RV 522: I. Allegro,0mbv5rsmlv8Av79qHYHAZ1,14,0.83,0.453,199533,0.234,0.499,G#,0.123,-17.479,Minor,0.0374,117.31,4/4,0.503
Jazz,B-Side,Sorry,0iewOv2XMEaSrXO2HgL3RF,10,0.289,0.689,172380,0.385,0.00464,A,0.399,-10.187,Major,0.356,77.993,4/4,0.239
Hip-Hop,Meek Mill,Dangerous (feat. Jeremih and PnB Rock),1lL7Sj9AitQT7YWXs6obEq,74,0.0581,0.763,234589,0.441,0.0,C,0.0458,-8.211,Major,0.256,86.093,4/4,0.538
Electronic,KRANE,Icy,1sWMnROKPhMVdiRDhprNvr,28,0.021,0.711,156000,0.726,0.534,C#,0.0804,-4.959,Major,0.0401,140.153,4/4,0.132
Movie,Randy Newman,Biggest Brand in Racing,5V6ZAeNXnfH4aoqNd9RPQZ,13,0.85,0.166,190973,0.0557,0.809,A#,0.206,-19.292,Major,0.0403,174.01,4/4,0.0485
Rock,Eric Church,Sinners Like Me,71geaRAZ2M5w08T3kl5Xvs,56,0.195,0.454,232360,0.555,1.96e-06,C#,0.16,-8.516,Major,0.0298,139.835,3/4,0.51
Alternative,Raekwon,The Morning,51oVwsllGkGySCLW6inIXE,46,0.0417,0.635,275080,0.66,0.0,G,0.351,-4.847,Major,0.357,82.16,4/4,0.193
Classical,Johann Sebastian Bach,"The Well-Tempered Clavier, Book I: Fugue No. 3 in C-Sharp Major, BWV 848",4oGgm03jvj8m9svvsnKKfQ,44,0.994,0.393,128067,0.202,0.914,C#,0.113,-26.308,Major,0.0341,107.578,4/4,0.868
Alternative,Linkin Park,Invisible,6OocN63GLU7NF0wHdewhID,59,0.0455,0.47,214347,0.74,0.0,B,0.091,-6.093,Major,0.07,84.841,4/4,0.562
Jazz,Richie Ray,Intro Joe (feat. Edwin Gómez),6GEK3UJx8dptXOWDS2vim8,35,0.521,0.78,374320,0.853,0.000468,B,0.0805,-4.522,Major,0.0439,104.88,4/4,0.832
Ska,Skabidean,Think About That,0KrcGHshE9sTEA1J8g8qbR,17,0.159,0.851,171270,0.562,0.0,F,0.0611,-6.86,Major,0.0322,108.125,4/4,0.968
Soundtrack,Max Richter,Dream 0 (till break of day) - Pt. 1,58gPQQTB4dMwfGrLWuuqj7,31,0.749,0.153,123000,0.0371,0.893,F#,0.112,-31.679,Major,0.0481,77.055,4/4,0.0314
Children’s Music,Linkin Park,Blackout,5IzDsRBAo3JaTpho5BcyGk,44,0.194,0.543,279453,0.923,0.00446,A,0.43,-3.992,Major,0.0768,134.997,4/4,0.366
Electronic,LCD Soundsystem,oh baby - electric lady sessions,3ipt678zwPkLgPpyTnSEeK,44,0.0248,0.525,370253,0.777,0.244,F,0.0624,-10.018,Major,0.0507,169.991,4/4,0.258
Opera,Saverio Mercadante,Le sette ultime parole di nostro Signore sulla croce: Qual Giglio Candido,1SWhDIfAldr8suHIwzAnbX,17,0.975,0.198,280729,0.244,0.000906,C#,0.105,-13.368,Major,0.053,172.961,3/4,0.0836
Anime,The Winking Owl,Silver Linings,7mZCGWD1ZmAQFgi2R7zdDg,17,0.000583,0.411,306813,0.785,1.01e-06,D#,0.0575,-5.489,Minor,0.0347,180.035,4/4,0.179
Reggae,Jah Cure,Pressure We Hard,2XxjTpJvLcDvsNt5qAG9FI,30,0.119,0.536,240744,0.727,0.0,A,0.0895,-5.404,Minor,0.395,178.945,4/4,0.535
Alternative,The Story So Far,How You Are,0E3I7YRBMPZwWT3TN84bZA,41,0.0116,0.61,225507,0.891,0.000435,G#,0.326,-3.63,Major,0.0471,82.494,4/4,0.748
Pop,BØRNS,Past Lives,1Dr5JexwA15wmKe7Y7maA9,63,0.0664,0.743,274320,0.685,6.75e-05,E,0.0884,-6.863,Major,0.0975,109.988,4/4,0.443
Rock,Casting Crowns,Oh My Soul,3s0h3pyKFrS3XX6ZLBPx6s,62,0.498,0.331,255173,0.427,0.0,D#,0.108,-7.431,Major,0.0302,157.938,3/4,0.141
Children’s Music,Plumb,Need You Now (How Many Times),5RvY3ReERt9o622MqEydNY,48,0.00245,0.607,252240,0.686,4.56e-06,A#,0.0901,-4.611,Major,0.0306,132.032,4/4,0.268
Classical,Antonio Vivaldi,"Concerto for Lute and 2 Violins in D Major, RV 93: II. Largo",39vWRiCjBWUA0fXUSVKw66,43,0.921,0.28,270040,0.0503,0.804,C#,0.0922,-24.4,Major,0.0369,138.328,4/4,0.331
Jazz,Natureboy Flako,Crying on the In,519lWlgyWsZYnQsBBHUoMc,55,0.00936,0.576,140733,0.506,0.908,C,0.114,-11.576,Minor,0.174,176.05,4/4,0.792
Children’s Music,The Moth & The Flame,The New Great Depression,5W2JCvnO9lRTB1dnee616B,49,0.524,0.649,191947,0.688,0.00212,C,0.155,-6.066,Major,0.156,170.137,4/4,0.565
Reggae,KBong,Middle of the Ocean (feat. Stick Figure),0BMvjzdfsrZLLYTH8tvAwZ,39,0.0583,0.652,269091,0.41,0.0154,G,0.375,-8.784,Major,0.0393,164.005,4/4,0.339
Children’s Music,Cultura Profética,Rimas pa' seducir,371wHShA5ERqTuwuRj8xgG,62,0.774,0.766,187053,0.309,0.0,B,0.106,-9.922,Major,0.0427,123.974,4/4,0.457
Children's Music,Enzo Garcia,Hey Ho Nobody Home,4vDgoU7T7Ar4gJVZLFYXVJ,1,0.939,0.609,175613,0.258,0.0,B,0.106,-11.292,Minor,0.0316,112.242,4/4,0.504
Blues,"Albert Hammond, Jr.",Coming to Getcha,3cRq7G2rW6036SC6fUNdHP,34,0.115,0.601,206886,0.674,0.00173,F,0.187,-6.555,Major,0.028,106.999,4/4,0.853
Rock,U2,Who's Gonna Ride Your Wild Horses,4SzIZFruLhiAzhuMtAhIRt,54,0.0302,0.432,316427,0.679,0.000435,G,0.053,-10.594,Major,0.0366,132.678,4/4,0.414
Classical,London Philharmonic Orchestra,Les contes d'Hoffmann (The Tales of Hoffmann): Barcarolle,4BlDzt4GOlXypmhYcOqXvC,29,0.947,0.192,213587,0.141,0.527,D,0.267,-19.693,Major,0.0336,79.892,3/4,0.0676
Alternative,Smino,SKEDOS,0Ec3M0gdhQ4sUKd5vGEKqm,42,0.687,0.861,165811,0.494,2.57e-06,A,0.348,-7.669,Major,0.374,107.027,4/4,0.569
Alternative,Blu,Dancing In The Rain,5BegRQCcJu4trXT6PPdih9,48,0.251,0.569,265827,0.74,2.68e-06,C,0.134,-6.235,Major,0.283,180.559,4/4,0.721
Classical,Paul Dukas,L'apprenti sorcier (The Sorcerer's Apprentice),2jUfzc1laRhp7krOq6zSns,31,0.956,0.382,694080,0.349,0.769,F,0.0657,-16.071,Minor,0.063,116.243,4/4,0.0951
Jazz,Sonny Rollins,The Way You Look Tonight,4MIFA5EbAEn7hceJCUUVEg,34,0.893,0.566,314382,0.577,0.02,F,0.171,-8.226,Major,0.0292,106.955,4/4,0.774
Anime,Samfree,無限の色と音の世界,4QVBCeJojSbXOaE6rkwdbY,17,0.0221,0.425,280116,0.969,4.1e-05,G,0.093,-3.489,Major,0.0998,172.001,4/4,0.571
Blues,Dr. John,Tipitina,5bkLurqPBpM0Yu8F05PkDJ,28,0.978,0.503,129493,0.36,0.318,F,0.115,-11.693,Major,0.0283,97.197,4/4,0.712
Jazz,Zero 7,Speed Dial No. 2,7rhc9e9gzWZOj9khLQE8mb,37,0.513,0.349,231507,0.35,0.0432,G,0.343,-11.193,Major,0.0259,82.911,4/4,0.0477
Movie,Scatman Crothers,Papa (I Don't Treat That Little Girl Mean),42nm8HM9tL2guGE01Te5ar,8,0.78,0.816,160051,0.413,1.31e-05,G,0.112,-10.888,Major,0.0493,134.831,4/4,0.767
Reggaeton,"Héctor ""El Father""",Romantiqueo Remix - Radio Version,539gLF02M5X1yqXhSM4v0X,27,0.144,0.821,266787,0.708,0.0,C#,0.447,-8.473,Major,0.079,92.007,4/4,0.503
Anime,Masakatsu Takagi,Marginalia #45,37VA0559nrjCsRVyeuWMVQ,18,0.986,0.308,316458,0.126,0.866,C#,0.234,-21.086,Major,0.0378,92.994,4/4,0.0387
Pop,Jonas Blue,Rise - Acoustic,64TfjW0Ebj9Uq0ik2OfmE7,71,0.811,0.628,232651,0.485,0.0,C,0.113,-6.299,Major,0.0314,94.781,4/4,0.484
Movie,Mandy Moore,Invisible Ink (Rebecca's Demo),2lsNspSyVQDKyWnyMuPxZE,41,0.894,0.722,190448,0.163,0.0,B,0.123,-11.022,Major,0.0358,110.719,4/4,0.318
Comedy,Natasha Leggero,"Girl, You Ain't Got No Arms",0Bw1lOGls2XMMUGXlEH89G,42,0.867,0.508,336053,0.75,0.0,G#,0.87,-7.579,Major,0.949,87.283,4/4,0.499
Opera,Georges Bizet,"Carmen (1997 - Remaster), Act III: Reposons-nous une heure ici, mes camarades",6d8q7U10gE9anT4D1EXGUr,17,0.96,0.493,135613,0.0737,0.0,F,0.0581,-24.838,Minor,0.0677,114.637,4/4,0.229
Alternative,Duckwrth,I'M DEAD,5ZbJR1AfdOsvsYNuCvgqKX,52,0.707,0.593,230632,0.751,0.0,E,0.356,-9.414,Minor,0.918,114.907,4/4,0.485
Alternative,Linkin Park,Blackout,0uIDQUwQmUltzyozMSezwQ,39,0.194,0.543,279453,0.923,0.00446,A,0.43,-3.992,Major,0.0768,134.997,4/4,0.366
Jazz,Nujabes,Latitude -remix (feat. Five Deez),65u7IbuZ4viAlVBHxnpos1,41,0.644,0.823,236533,0.814,0.687,G,0.117,-5.611,Minor,0.177,102.619,4/4,0.649
Comedy,Franco Escamilla,5 de Junio la Corneta (En Vivo),1yMyy6ZQteGloi3jnSD6E5,27,0.825,0.667,3452316,0.752,0.0,A,0.676,-2.728,Major,0.782,107.831,4/4,0.744
Movie,Alan Menken,"Enchanted Suite - From ""Enchanted""/Score",42TTHCYkSo0ER8RLmyV3Hu,40,0.905,0.332,272480,0.393,0.687,G,0.12,-9.409,Major,0.0298,87.038,4/4,0.215
Folk,Alison Krauss & Union Station,The Boy Who Wouldn't Hoe Corn,5SkSa4KcYWKZehf5vvDN06,40,0.523,0.409,279440,0.525,0.000387,D,0.109,-9.035,Minor,0.0345,106.558,4/4,0.228
Classical,William Walton,Spitfire Prelude and Fugue (1994 Digital Remaster): Fugue,7bxCRQQjowMZl6tDLJCMRO,40,0.924,0.298,258867,0.283,0.892,E,0.365,-15.594,Minor,0.0528,121.659,4/4,0.144
Hip-Hop,CalenRaps,Think About Me,2vVrjabuLyh5YEoZM412H9,54,0.32,0.693,146000,0.627,0.0,F#,0.103,-6.325,Minor,0.377,130.665,4/4,0.579
Pop,G-Eazy,Him & I (with Halsey),5k38wzpLb15YgncyWdTZE4,82,0.0534,0.589,268867,0.731,0.0,D,0.308,-6.343,Major,0.0868,87.908,4/4,0.191
Opera,Giuseppe Verdi,"Otello: Act I, Scene IX, ""Gia nella notte densa"" (Otello, Desdemona)",3wBtu0bais34HcBLBM5ZLn,19,0.947,0.164,564173,0.0198,8.68e-05,C#,0.0805,-32.065,Major,0.0481,70.5,3/4,0.0374
R&B,Masego,Shut Up And Groove,0sXQaKPTlutIBYnwZqOn2I,54,0.0472,0.721,156547,0.582,0.0008,A#,0.132,-7.603,Minor,0.38,89.817,4/4,0.444
Pop,Florida Georgia Line,Anything Goes,46ZfPS5VpSQVU5gb82hg3K,68,0.00172,0.462,218867,0.977,0.0,C,0.352,-3.805,Major,0.045,154.038,4/4,0.746
Children’s Music,As I Lay Dying,The Sound Of Truth,7lYrz70DntWR7o8Sqfz0Ok,58,2.02e-05,0.368,260787,0.981,0.00549,D,0.129,-4.084,Minor,0.12,165.018,4/4,0.277
World,Terry MacAlmon,For the Lord Is Holy (Live),2uixCIcAuBVCJ4R09sElMR,27,0.948,0.273,370467,0.103,0.0675,C#,0.121,-18.835,Major,0.0374,126.479,3/4,0.0387
World,Ayub Ogada,Nyandolo,3XQfNmTUUR7Boz1sIHKwEr,28,0.953,0.649,180560,0.115,0.0161,A,0.108,-18.303,Major,0.0551,104.397,4/4,0.836
Country,Florida Georgia Line,I'm In A Hurry (And Don't Know Why),1h2vCbRUWpWnYEgb2hfQbi,55,0.00987,0.556,171093,0.979,0.0,G,0.261,-3.283,Major,0.0544,128.632,4/4,0.658
Blues,Thee Oh Sees,I Come from the Mountain,2eKcMyjRqXwVh8OeR9wZKt,36,6.12e-05,0.234,268240,0.939,0.849,D,0.118,-6.856,Major,0.0449,89.679,4/4,0.588
Children's Music,Old Town School of Folk Music,"Very, Very Tall",1fa0P39YZ4dvDhJGv1jqra,16,0.898,0.717,52320,0.0476,0.0,A,0.101,-9.893,Minor,0.285,114.887,1/4,0.175
Classical,Ólafur Arnalds,Brim,289n6TbsUghHd45ezuS2Fd,24,0.914,0.59,282840,0.41,0.932,G,0.11,-14.064,Minor,0.0843,144.955,3/4,0.317
Electronic,Nightmares On Wax,Gotta Smile,1vmgjKmXamwE7n30yHMb2Z,33,0.0246,0.675,404107,0.716,0.848,E,0.0686,-10.792,Minor,0.0592,108.012,4/4,0.807
R&B,Jay Park,Drive (feat. Gray),0k6ItoyE50QuW50nGYLO2v,59,0.188,0.651,212334,0.749,0.0,F,0.0723,-3.707,Minor,0.0412,150.019,4/4,0.93
Movie,Chorus,Kaatuka Pittala,1igTWX8NLoysWQGjjGG2IR,0,0.463,0.898,115587,0.854,0.0,D,0.111,-8.031,Major,0.15,105.0,4/4,0.688
Anime,Superfly,愛をくらえ,2po0WNtSNPbrJG1z4h72ER,15,0.00126,0.411,278613,0.883,7.95e-06,C#,0.132,-3.275,Minor,0.0476,81.048,4/4,0.494
Dance,Nelly Furtado,Maneater,1M9uq2yCiOhsO6BFozo2OE,56,0.0335,0.717,258840,0.777,0.000179,F#,0.107,-4.739,Major,0.0636,66.404,4/4,0.729
Opera,Léo Delibes,Coppelia: Act I - Mazurka,34N7lhpRH37z94kasZgzUR,23,0.519,0.298,248027,0.194,0.857,G,0.0971,-20.007,Major,0.0571,82.285,4/4,0.324
Rap,Watsky,No Complaints No Conversation,5tsFpsHwi6J1J7K675sM7O,53,0.229,0.786,190507,0.667,0.0,B,0.0936,-5.62,Minor,0.232,148.01,4/4,0.879
Children’s Music,Starset,Ricochet,1ocR8gUE4fBfNJZtBr0TFQ,55,0.0016,0.256,310347,0.84,0.0,F,0.0968,-6.916,Minor,0.0606,112.977,4/4,0.178
Opera,Barbara Hendricks,C’est l’extase Op. 58 Nr. 5: C’est l’extase Op. 58 Nr. 5,2vDBCYD8p5p6ucdAhP6UKG,2,0.993,0.24,189947,0.0691,0.319,D#,0.147,-20.098,Major,0.0432,80.923,4/4,0.0587
Blues,The Marshall Tucker Band,Bob Away My Blues,3QXaIbn1w7X9AqVWwzTkFg,29,0.352,0.571,166800,0.542,0.0,E,0.113,-6.436,Major,0.0419,112.974,4/4,0.372
Country,Three Dog Night,Mama Told Me (Not To Come) - Single Version,1CAO7hiNOxJRPW4nFv2aRO,52,0.377,0.672,198933,0.673,0.0147,C#,0.21,-13.863,Major,0.0506,120.003,4/4,0.818
Rock,Led Zeppelin,Over the Hills and Far Away,5KXdflxoxCcE9m5F2QoAUY,60,0.0582,0.412,289360,0.54,0.0717,G,0.0849,-13.897,Major,0.0516,96.783,4/4,0.299
Pop,2 Chainz,Forgiven (feat. Marsha Ambrosius),6f6xUMBUrXYK3JrlXXCm3R,70,0.155,0.491,323307,0.523,0.0,G,0.405,-9.417,Major,0.592,73.79,4/4,0.243
Indie,Mt. Joy,Silver Lining,2fpDrL2Vpee0JnM6AoUFvl,66,0.000921,0.486,199827,0.638,0.0,C,0.078,-6.231,Major,0.0323,144.458,4/4,0.178
Rock,Peter Gabriel,Sledgehammer - 2012 Remaster,4AUS8KNz7zX8XFu9L38GT0,56,0.0238,0.655,313533,0.694,0.0,C#,0.0344,-5.184,Major,0.0326,96.458,4/4,0.431
Electronic,Caribou,Bees,2XqMEvXJVK8FlcjeNYyplk,48,0.8,0.714,323667,0.59,0.901,A,0.111,-12.821,Major,0.0304,130.71,4/4,0.784
Rock,Alejandro Sanz,Corazón partío,0wQCKR9OFjYu5Kzrk7WivJ,74,0.199,0.648,343413,0.846,4.23e-06,C,0.0803,-6.731,Major,0.0424,160.075,4/4,0.815
Jazz,Digable Planets,Blowing Down,0QmceP4sn0nYVZHXBlj3eV,32,0.0393,0.895,231200,0.379,0.632,A#,0.111,-15.812,Minor,0.273,95.495,4/4,0.551
Pop,The-Dream,I Luv Your Girl,3wkNK8tJZ2stygNJm8RCRD,57,0.017,0.686,267867,0.322,0.0,G#,0.125,-9.829,Major,0.0386,89.958,4/4,0.0396
Indie,Ella Vos,Ocean,3hQKuj4sZ9L4Yn0RC2SIrI,57,0.0152,0.471,210503,0.361,0.000509,B,0.143,-10.903,Major,0.0281,87.819,4/4,0.0674
Blues,Dorothy,Mountain,6kYBJmLElC8T3OxwSeuFDC,31,0.073,0.345,252373,0.714,0.0,C,0.134,-3.844,Major,0.0405,155.957,4/4,0.395
Alternative,Avenged Sevenfold,Lost,0EtXiKDaHJcVFFvhWpSfiN,49,5.82e-05,0.214,301507,0.955,0.00015,F,0.0973,-3.576,Major,0.0687,179.997,4/4,0.393
Anime,Soraru,ありふれた魔法,2zfBZ7jq9iPTG0PsCwXyZ6,13,0.0157,0.411,219040,0.865,0.0,F#,0.067,-4.621,Major,0.035,181.969,4/4,0.792
Classical,Gustav Mahler,"Symphony No. 1 in D Major ""Titan"": IVa. Stürmisch bewegt",5nk3Ub9y6ScSjQ2kcFfJhk,27,0.883,0.305,210333,0.261,0.908,A#,0.379,-15.779,Minor,0.0345,113.713,4/4,0.193
Rap,Trippie Redd,Love Scars Pt. 2 / Rack City,5SCiKTGKH0fIgqQzpBvL69,65,0.0653,0.665,155368,0.588,0.0,F,0.0868,-7.953,Minor,0.137,80.928,4/4,0.157
Ska,The Flatliners,This Song Is Like Thunder and Lightning in a Wide Open Field,4SPq7qw3c0u605pTvIr5mH,26,4.48e-05,0.417,176040,0.995,0.0,E,0.358,-3.426,Major,0.13,100.865,4/4,0.452
Electronic,Aphex Twin,Cock/ver10,1ppw4aUaKKiY43tRMJD05h,37,0.0054,0.541,318333,0.939,0.802,C#,0.503,-7.9,Major,0.12,170.157,4/4,0.288
Children's Music,Enzo Garcia,Shoe Fly,1KirPfRlqct69hhRLwsj4y,0,0.742,0.7,185453,0.286,0.0149,C,0.192,-12.666,Major,0.0376,114.291,4/4,0.847
Movie,Chantal Goya,Texte liaison 1,5Wv87rcyim4dpz9VvgVfpC,2,0.907,0.716,32747,0.147,0.0,G#,0.134,-16.375,Major,0.96,94.062,4/4,0.489
Electronic,Big Gigantic,Miss Primetime (feat. Pell) - Manic Focus Remix,5tSQDeEDdmK6uLB8ajq9Sd,21,0.0346,0.706,259270,0.883,2.36e-05,D,0.497,-4.336,Minor,0.0343,136.962,4/4,0.939
World,Random Rab,Remain,6lHUfacUVth923HlGa9Rsp,30,0.168,0.783,244571,0.346,0.855,D,0.106,-9.825,Major,0.0391,105.021,4/4,0.256
Country,Maren Morris,Sugar,41e2LhE1nFYh41vIteVA5u,53,0.19,0.565,189147,0.755,0.0,E,0.0807,-4.775,Major,0.0785,75.456,4/4,0.681
Anime,Capcom Sound Team,海と陸の共震/ラギアクルス,6ccU21EnAQIQjyRwlc9mTn,15,0.0417,0.218,147467,0.804,0.87,A#,0.39,-6.847,Minor,0.0616,145.267,4/4,0.595
R&B,Matt Martians,Baby Girl,5DXLAH0YC4FEYFTbCbd2Qy,40,0.218,0.653,165417,0.763,0.000133,A#,0.406,-3.84,Major,0.0611,77.35,4/4,0.605
Opera,Léo Delibes,Coppelia: Act III - Variation,6TIMIzx26I12UHfe2yeFLI,9,0.891,0.472,67893,0.034,0.132,G,0.583,-31.989,Major,0.0429,101.088,3/4,0.303
Hip-Hop,Q-Tip,Vivrant Thing - Club Mix,1uQbeHF6znPkD99pDGLvRN,56,0.00631,0.914,190440,0.698,0.000295,A,0.0575,-8.619,Major,0.0541,99.034,4/4,0.613
